Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
-2.6798,0.44747,1.7151,-0.80331,-0.9148,3.7157,0.97666,0.020952,0.048915,0.072848,0.016854
2.3,1.0255,-0.095361,-1.5119,-0.047383,-0.84622,0.38975,0.12321,0.33162,0.62859,0.014152
0.51118,-1.2121,-1.9256,0.18584,1.4921,2.2205,0.44535,0.015249,0.2623,0.23466,0.0068295
0.14467,1.4547,-1.809,0.77112,0.67214,2.7645,0.89505,0.1018,0.43524,0.57476,0.0097316
-1.8282,0.38652,-0.58654,-1.9379,-0.49491,1.4253,0.48482,0.11997,0.20035,0.40177,0.0091231
-2.2091,-0.16161,0.46834,2.9945,-0.83096,-1.5195,1.0989,0.39056,0.0797,0.93378,0.018735
-1.7489,0.2891,-1.9256,1.2122,2.1113,3.1652,1.4519,0.4135,0.18946,0.18011,0.0022041
2.372,0.40122,-0.35742,-1.9176,1.3147,3.0881,1.9321,0.77128,0.30888,0.32468,0.0078312
1.6713,-0.86859,2.5102,3.4671,1.9573,3.6217,1.3905,0.096607,0.96391,0.97995,0.019708
1.4886,-0.49188,1.1929,1.9168,-0.33345,1.2048,0.64791,0.022687,0.069446,0.22314,0.019941
-0.22758,-0.63149,-1.2158,1.3873,-0.8259,1.053,0.30064,0.077752,0.40185,0.37023,0.018744
0.13734,0.10192,-0.056331,-0.29672,3.2986,2.3302,1.8843,0.13421,0.48494,0.48494,0.017223
1.3038,0.47078,0.72585,2.049,-1.8564,-0.56952,1.0076,0.097106,0.22518,0.54368,0.011193
1.6319,0.029178,-1.9488,2.3894,3.2954,-0.51375,1.1524,0.13797,0.99704,0.83357,0.019998
1.3845,-0.35355,-2.839,2.2114,1.9436,-1.5158,0.80415,0.15566,0.30847,0.23066,0.018313
-1.9733,1.414,-2.3525,-0.21958,-1.1901,-1.7801,0.35916,0.0075007,0.28892,0.13284,0.0079289
0.78375,-0.87653,0.29216,-0.98108,-0.88594,0.66264,0.40823,0.079495,0.35855,0.56454,0.0080558
2.8472,0.66029,0.64674,1.8545,3.3467,-1.7552,1.5171,0.1058,0.037649,0.26463,0.015593
2.1105,-1.1711,0.69716,2.9497,0.61983,-1.2283,1.539,0.0121,0.32827,0.96369,0.01157
-0.56264,1.3639,0.19131,2.9854,-0.56542,2.2418,1.8584,0.08719,0.39075,0.62511,0.0080366
-0.1582,0.44001,2.2626,-0.94183,0.82979,0.18413,0.75305,0.01735,0.29799,0.47713,0.0046573
2.6574,-1.4564,1.6329,3.7506,-1.6655,0.60721,1.4386,0.090964,0.52106,0.52106,0.010708
-2.9279,0.42462,-1.9828,2.7292,1.61,0.16808,1.4866,0.0065208,0.021275,0.12045,0.018357
2.7789,1.3366,0.57758,-1.6356,-0.75696,-0.73859,0.51583,0.12314,0.2247,0.2247,0.016096
2.1279,-0.94807,1.8282,-0.15377,-0.96127,-0.31091,1.831,0.028223,0.37156,0.37156,0.013426
-0.50138,1.0452,1.3359,0.29719,-0.83159,0.72103,0.48466,0.14965,0.39467,0.385,0.010014
-1.4991,0.31264,-0.61005,-0.68437,-0.057929,2.3873,0.42269,0.095375,0.40988,0.24641,0.003628
-2.6992,0.48734,1.0777,-0.77058,3.2473,1.4781,1.6387,0.053429,0.094426,0.30933,0.019662
0.2193,-0.52711,1.8883,2.2055,-1.6242,0.42521,1.0218,0.024324,0.11319,0.28993,0.006069
1.6141,-1.4213,1.4382,-0.19519,2.4666,-0.034769,0.90604,0.31993,0.2991,0.82482,0.018032
-1.7282,-0.055042,-3.1159,-1.3307,0.82118,-1.6141,0.74976,0.11807,0.505,0.505,0.011
2.5902,0.52317,-2.6871,-1.517,-0.74901,1.6359,1.3004,0.27023,0.20486,0.38674,0.0084361
1.985,1.1038,-1.3194,-1.4027,0.70645,3.3606,1.9041,0.10527,0.26363,0.75797,0.0156
2.7734,0.25401,-0.95864,3.6774,0.93563,-0.055464,1.6084,0.10735,0.021771,0.059109,0.010966
0.5732,-0.6358,0.39536,0.21546,1.4257,0.5589,0.27183,0.15927,0.066958,0.27316,0.01511
-2.3532,0.21952,2.5099,1.7236,2.6584,0.92264,1.3787,0.95644,0.073617,0.14796,0.019487
1.3237,1.1301,0.29848,-1.814,-0.42829,1.04,0.57928,0.091848,0.3942,0.41236,0.0042785
-2.1775,0.12102,-0.92153,0.15936,-0.62563,2.2436,0.62398,0.05875,0.094572,0.15278,0.01969
