Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,Energy,Error,P,D,Time
1.9756,-1.5122,-0.11712,0,-2,-2,1.9443,0.086387,0.505,0.505,0.011
0.46332,-6.94E-18,-0.23424,-2,-2,0,1.3599,0.021948,0.505,0.505,0.011
-0.23424,-0.9318,1.1609,0,2,2,1.9843,0.0024069,0.505,0.505,0.011
-2.6783,-1.278,1.9756,-2,2,-2,0.94379,0.63685,0.505,0.505,0.011
3.0245,-0.23424,3.0245,-2,-2,0,1.9207,0.047499,0.505,0.505,0.011
-0.9318,-0.9318,0,2,0,2,0.78124,0.12155,0.505,0.505,0.011
2.7902,-0.9318,1.3951,0,-2,-2,1.2954,0.018886,0.45531,0.49775,0.011904
0.3462,1.0489,-0.35136,-2,0,-2,0.49748,0.017284,0.49962,0.49962,0.011098
-0.9318,-0.23424,3.0245,2,2,0,0.94207,0.062339,0.505,0.505,0.011
-1.0489,-0.58044,-1.9807,2,0,-2,1.6305,0.030999,0.505,0.505,0.011
2.7902,-0.9318,-0.23424,0,2,2,1.6866,0.10298,0.505,0.505,0.011
0.58044,1.0489,0.3462,-2,0,2,0.81768,0.10865,0.505,0.505,0.011
0.46332,-0.9318,-0.9318,0,-2,-2,0.92987,0.187,0.505,0.505,0.011
-0.35136,0.35136,-2.6783,-2,0,2,0.7599,0.54208,0.505,0.505,0.011
-0.9318,-0.23424,1.1609,0,-2,0,1.3259,0.038206,0.505,0.505,0.011
-0.81468,1.2832,2.6731,-2,2,2,1.0476,0.882,0.505,0.505,0.011
-0.11712,-0.58044,-0.35136,2,2,-2,1.973,0.11085,0.505,0.505,0.011
-0.35136,0.81468,0.58044,0,-2,2,0.67686,0.11874,0.505,0.505,0.011
-2.7954,1.1609,-1.6294,-2,0,0,0.88496,0.047901,0.505,0.505,0.011
-1.7465,0.35136,-1.0489,0,-2,-2,0.59938,0.20386,0.505,0.505,0.011
-1.0489,0.35136,0.3462,-2,-2,-2,0.83875,0.19392,0.505,0.505,0.011
-1.0489,-0.3462,-0.11712,2,-2,0,0.78872,0.26198,0.505,0.505,0.011
-1.2832,-1.278,-1.7465,2,2,-2,1.2988,0.0986,0.505,0.505,0.011
3.1416,0.81468,-1.2832,0,-2,0,1.3165,0.10125,0.505,0.505,0.011
1.8584,1.3951,3.18E-16,0,-2,0,0.45245,0.099418,0.49647,0.49647,0.011155
-1.0489,0.81468,-1.2832,0,0,0,0.27572,0.034181,0.505,0.505,0.011
2.0927,1.3951,1.8584,-2,0,0,0.58191,0.039675,0.505,0.505,0.011
6.35E-16,1.3951,1.3951,0,-2,0,1.2393,0.064822,0.505,0.505,0.011
-2.6783,-1.5122,1.9756,0,0,2,0.2583,0.13058,0.505,0.505,0.011
2.0927,-0.46848,2.7902,2,0,2,0.81435,0.10244,0.505,0.505,0.011
-0.23424,0.46332,-1.6294,2,0,0,0.53224,0.098538,0.505,0.505,0.011
2.0927,0,-0.9318,2,2,2,1.1264,0.099086,0.505,0.505,0.011
-1.166,-0.9318,-1.166,0,0,0,0.2804,0.026414,0.505,0.505,0.011
3.62E-17,0.69756,0.46332,0,-2,0,0.74876,0.037131,0.505,0.505,0.011
-1.7465,0.35136,-1.9807,0,0,2,0.66141,0.28847,0.505,0.505,0.011
0.46332,0.69756,-2.5612,0,0,2,0.48181,0.10156,0.505,0.505,0.011
2.2098,0.81468,2.6731,-2,-2,0,0.60214,0.66594,0.505,0.505,0.011
-0.9318,-5.55E-17,-1.6294,-2,-2,0,0.98478,0.10562,0.505,0.505,0.011
0.69756,-0.46848,-2.7954,2,-2,-2,1.0703,0.11188,0.505,0.505,0.011
0.46332,-0.46848,-0.9318,-2,2,-2,1.9909,0.57696,0.505,0.505,0.011
-1.8636,-1.166,-1.166,2,2,2,0.87596,0.082762,0.505,0.505,0.011
1.1609,0.46332,-2.5612,2,-2,-2,1.0053,0.096829,0.505,0.505,0.011
1.5122,0.81468,0.58044,0,-2,-2,0.8725,0.038475,0.505,0.505,0.011
-0.46848,1.1609,0.46332,0,-2,-2,0.6373,0.23846,0.505,0.505,0.011
-0.35136,-1.5122,-0.81468,-2,-2,2,1.0623,0.13307,0.505,0.505,0.011
-0.9318,1.3951,-2.7954,2,2,-2,0.87196,0.073977,0.505,0.505,0.011
-1.7465,-1.5122,1.278,2,-2,2,1.0948,0.12319,0.505,0.505,0.011
1.278,1.0489,-0.81468,-2,0,-2,0.60644,0.21674,0.505,0.505,0.011
0.46332,0.69756,2.7902,2,0,2,1.6875,0.027423,0.505,0.505,0.011
2.0927,-1.11E-16,1.3951,2,2,-2,1.8471,0.11197,0.505,0.505,0.011
-1.6294,0.46332,-0.9318,2,0,-2,0.82682,0.10072,0.505,0.505,0.011
0.46332,1.3951,-2.5612,0,0,2,0.65925,0.088883,0.505,0.505,0.011
1.278,-1.5122,-1.2832,0,2,0,0.32952,0.33614,0.505,0.505,0.011
