Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
1.9937,-0.52617,1.6125,-0.76446,-0.29391,-0.072957,0.057544,0.16072,0.0085065,5.0566,0.16596,0.022188
1.9023,-1.5604,1.8705,0.092738,-0.12322,-0.2082,0.090028,0.22306,0.010645,4.9857,0.032184,0.019996
0.74806,0.68354,1.5033,0.22877,-0.024118,-0.024862,0.079531,0.24738,0.0085247,3.3735,0.061637,0.024224
-1.7997,1.3811,0.66798,0.88451,-0.15209,-0.43494,0.12385,0.38863,0.019981,5.2993,0.17656,0.026252
2.1823,-0.90024,0.35691,-0.19779,-0.66263,0.23209,0.055055,0.20978,0.018696,5.0489,0.12265,0.03248
2.8524,1.47,2.6167,0.77872,-0.58668,0.16575,0.15132,0.26884,0.0073206,3.43,0.10227,0.014682
0.51193,0.55593,1.8783,0.29205,1.0325,0.59386,0.087947,0.29066,0.013714,5.3497,0.22069,0.027102
0.46765,-0.45061,-2.3397,0.71313,0.38896,0.29294,0.31858,0.25137,0.0028701,3.6455,0.059378,0.0061197
-2.5299,1.3331,-2.5551,-2.46E-05,-0.97459,0.2884,0.098587,0.29887,0.0071711,0.49238,0.087396,0.027152
1.4396,1.3606,1.9859,-0.14266,0.21572,-0.16191,0.03179,0.2471,0.015812,0.41688,0.015646,0.04434
1.1738,-1.2747,1.565,-0.090706,0.188,-0.62682,0.038276,0.22342,0.012962,0.62526,0.081076,0.046791
-0.66605,1.5302,0.23984,-0.53821,0.57873,-0.61275,0.075095,0.48431,0.012698,1.3015,0.077968,0.031868
2.5039,0.57513,2.6152,-0.61526,-0.099825,0.11172,0.11105,0.24995,0.013545,4.8522,0.13654,0.020259
-2.1963,0.871,1.0302,-0.83337,-0.80642,-0.027077,0.055566,0.12478,0.017755,5.5019,0.22227,0.017257
-1.3616,-1.0167,1.6672,0.45646,0.54546,-0.23911,0.10034,0.24207,0.011842,4.8197,0.099081,0.019093
-1.3531,-0.50066,-0.15684,0.68362,0.41278,0.35196,0.20106,0.26856,0.012259,4.7075,0.08788,0.010853
2.1977,0.27273,0.49811,-0.32304,0.46832,-0.67424,0.084347,0.48341,0.018887,0.33763,0.052329,0.049697
-3.071,-1.3615,-0.27774,-0.49213,0.46803,-1.3134,0.07507,0.1717,0.0091521,5.0231,0.22916,0.018304
1.7837,-0.83979,-2.179,-0.66168,-0.10394,-0.27185,0.21295,0.27999,0.0044861,3.9837,0.099997,0.011293
-2.3768,-0.48479,2.2287,0.30901,0.40018,0.81461,0.03597,0.23258,0.018885,0.33487,0.074422,0.05858
-2.7957,0.75183,1.1349,-0.64643,-0.32442,0.44417,0.028095,0.2356,0.015854,4.618,0.080794,0.0088126
-0.19301,0.38426,2.4196,-0.84263,-0.35324,-0.54012,0.054833,0.21844,0.0092955,4.4807,0.17728,0.01632
-2.3005,1.2972,-1.8467,0.75138,0.41934,1.1133,0.15598,0.40459,0.0078845,3.7475,0.22608,0.022017
1.3705,0.76157,1.5813,-0.62782,-0.14958,-0.6963,0.23421,0.12614,0.015203,4.6227,0.31012,0.0036817
0.032084,0.89224,-0.88253,0.58037,-0.57157,0.23568,0.23412,0.22726,0.016247,4.565,0.069796,0.00786
-2.4031,-0.36292,2.2534,-1.4462,0.67894,-0.34745,0.048607,0.24381,0.010698,4.6252,0.21507,0.016319
0.89833,0.25804,-2.1716,-0.10803,-0.30479,0.40737,0.20757,0.39492,0.019857,3.1699,0.043426,0.016038
-1.3758,0.89532,-1.6602,-0.071056,1.3056,-0.16896,0.15739,0.422,0.0070523,2.4975,0.1695,0.01027
-2.9709,0.053402,1.3682,0.32369,0.017355,0.24306,0.069645,0.051225,0.019684,5.2436,0.21185,0.0064419
-2.0207,-1.1323,0.2602,-0.78903,-0.81339,-0.14982,0.18643,0.36577,0.018563,5.1069,0.13862,0.016348
-2.9429,1.4804,2.8853,0.48716,0.0036063,0.047072,0.15344,0.26494,0.018759,4.9453,0.063026,0.014401
-1.4452,-1.313,-2.8568,-0.45831,-0.064282,0.27702,0.079673,0.080018,0.018654,5.3418,0.21851,0.00779
0.86822,0.57865,0.79338,0.12591,-0.35905,-0.78234,0.084877,0.22019,0.019594,1.1377,0.055643,0.020799
-1.5462,1.3176,-1.962,0.46202,0.41791,0.12162,0.20587,0.31585,0.0042891,4.0088,0.08039,0.0096103
1.0729,-0.35181,0.88073,0.11149,0.25046,0.63355,0.10787,0.30283,0.015247,3.8584,0.10363,0.022696
-2.9207,0.38005,1.0104,0.59793,0.44311,-0.08999,0.079784,0.23691,0.0074006,5.1845,0.12536,0.016981
-3.0457,1.203,2.0558,0.59824,-1.2955,0.3303,0.1116,0.31884,0.016046,2.1426,0.18619,0.024602
-0.47208,0.98503,-0.35511,0.7801,-1.07,-0.44522,0.21368,0.26853,0.017517,2.6215,0.16497,0.010293
-2.222,1.5697,-2.425,0.24371,-1.3342,-0.5821,0.22838,0.26636,0.0095626,2.772,0.18253,0.0092077
-3.0741,-0.21529,-2.0487,0.14787,-1.0795,-1.1898,0.053762,0.15356,0.018407,5.1867,0.2389,0.02245
-0.060462,0.48215,2.6862,0.55343,-0.7021,0.35745,0.054557,0.28324,0.019483,0.72617,0.087635,0.042083
-2.1719,0.99371,-3.0236,-0.47776,0.0043426,0.33066,0.086171,0.26119,0.0084074,1.539,0.045724,0.025423
-1.4723,-0.51634,0.049239,-0.17345,-0.1109,0.023186,0.19918,0.29289,0.0080299,5.1635,0.039017,0.01271
2.068,-1.4936,-2.5184,1.2404,0.15906,0.26446,0.21998,0.48238,0.012495,3.5655,0.16008,0.019327
-3.0962,0.47012,2.8715,-0.022729,0.23347,0.34378,0.07401,0.26134,0.0090212,2.6898,0.083681,0.022837
2.4338,0.69553,-0.13733,0.1273,0.52165,-0.96953,0.11278,0.23305,0.010293,2.7029,0.091648,0.016663
2.2609,-1.5327,0.8337,0.74644,-0.16391,1.4466,0.053945,0.24593,0.0090131,0.64038,0.15328,0.018217
-1.1429,-1.312,-1.4834,1.1928,1.2025,0.69526,0.21634,0.48845,0.012141,1.256,0.24471,0.020071
-0.80553,0.0075445,-0.17472,-0.39681,-0.21433,-0.47062,0.21646,0.25879,0.012622,4.9703,0.040329,0.010334
-1.6677,0.6699,1.6033,-0.55323,0.46619,0.58032,0.062103,0.10913,0.0044216,4.8391,0.18484,0.0065486
2.0136,0.53248,2.808,-0.38246,-0.041438,-0.0029454,0.069888,0.22087,0.018452,5.1649,0.11368,0.026819
